,Timestamp,On-prem,Cloud
0,1763751147.0987751,148,31
1,1200.0,142,31
2,2400.0,140,31
3,3600.0,139,31
4,4800.0,146,31
5,6000.0,146,31
6,7200.0,131,31
7,8400.0,106,31
8,9600.0,75,31
9,10800.0,16,31
10,12000.0,1,2
11,13200.0,3,0
12,14400.0,4,0
13,15600.0,1,0
14,16800.0,5,0
15,18000.0,1,0
16,19200.0,1,0
17,20400.0,4,0
18,21600.0,0,0
19,22800.0,3,0
20,24000.0,0,2
21,25200.0,0,0
22,26400.0,0,0
23,27600.0,2,0
24,28800.0,2,0
25,30000.0,2,0
26,31200.0,4,0
27,32400.0,0,0
28,33600.0,2,2
29,34800.0,0,0
30,36000.0,1,1
31,37200.0,1,1
32,38400.0,1,0
33,39600.0,3,0
34,40800.0,5,0
35,42000.0,2,0
36,43200.0,2,0
37,44400.0,4,0
38,45600.0,3,0
39,46800.0,7,0
40,48000.0,5,0
41,49200.0,0,0
42,50400.0,0,0
43,51600.0,1,0
44,52800.0,0,0
45,54000.0,3,0
46,55200.0,13,0
47,56400.0,0,0
48,57600.0,1,0
49,58800.0,6,0
50,60000.0,1,0
51,61200.0,11,1
52,62400.0,31,1
53,63600.0,42,1
54,64800.0,55,1
55,66000.0,56,0
56,67200.0,68,0
57,68400.0,87,0
58,69600.0,98,0
59,70800.0,101,6
60,72000.0,103,9
61,73200.0,107,9
62,74400.0,116,9
63,75600.0,116,6
64,76800.0,132,7
65,78000.0,136,7
66,79200.0,140,7
67,80400.0,145,7
68,81600.0,145,10
69,82800.0,145,10
70,84000.0,148,10
71,85200.0,148,15
72,86400.0,148,15
73,87600.0,148,15
74,88800.0,148,13
75,90000.0,148,13
76,91200.0,148,14
77,92400.0,148,14
78,93600.0,148,14
79,94800.0,148,14
80,96000.0,148,12
81,97200.0,148,12
82,98400.0,148,12
83,99600.0,148,11
84,100800.0,148,14
85,102000.0,148,14
86,103200.0,148,11
87,104400.0,148,11
88,105600.0,148,11
89,106800.0,148,14
90,108000.0,148,14
91,109200.0,148,16
92,110400.0,148,16
93,111600.0,148,16
94,112800.0,148,16
95,114000.0,148,16
96,115200.0,148,16
97,116400.0,148,18
98,117600.0,148,18
99,118800.0,148,23
100,120000.0,148,23
101,121200.0,148,23
102,122400.0,148,26
103,123600.0,148,26
104,124800.0,148,26
105,126000.0,148,28
106,127200.0,148,28
107,128400.0,148,28
108,129600.0,148,28
109,130800.0,148,28
110,132000.0,148,28
111,133200.0,148,28
112,134400.0,148,28
113,135600.0,148,28
114,136800.0,148,28
115,138000.0,148,28
116,139200.0,148,28
117,140400.0,148,28
118,141600.0,148,28
119,142800.0,148,28
120,144000.0,148,28
121,145200.0,148,28
122,146400.0,148,28
123,147600.0,148,30
124,148800.0,148,31
125,150000.0,148,31
126,151200.0,148,31
127,152400.0,148,31
128,153600.0,148,31
129,154800.0,148,31
130,156000.0,148,31
131,157200.0,148,31
132,158400.0,148,31
133,159600.0,148,31
134,160800.0,148,31
135,162000.0,148,31
136,163200.0,148,31
137,164400.0,148,31
138,165600.0,148,31
139,166800.0,148,31
140,168000.0,148,31
141,169200.0,148,31
142,170400.0,148,31
143,171600.0,148,31
144,172800.0,148,31
145,174000.0,148,31
146,175200.0,148,31
147,176400.0,148,31
148,177600.0,148,31
149,178800.0,148,31
150,180000.0,148,31
151,181200.0,148,31
152,182400.0,148,31
153,183600.0,148,31
154,184800.0,148,31
155,186000.0,148,31
