Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763682988.644893,ANSYS,6700,0,0.0
1763682988.644893,ABAQUS,2200,0,0.0
1763682988.644893,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,804,12.0
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,804,12.0
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,567,8.46268656716418
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,567,8.46268656716418
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,756,11.283582089552239
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,672,8.842105263157894
8400.0,ANSYS,6700,849,12.671641791044777
8400.0,ABAQUS,2200,137,6.2272727272727275
8400.0,LSDYNA,7600,1200,15.789473684210526
9600.0,ANSYS,6700,1464,21.850746268656717
9600.0,ABAQUS,2200,407,18.5
9600.0,LSDYNA,7600,1776,23.36842105263158
10800.0,ANSYS,6700,2510,37.46268656716418
10800.0,ABAQUS,2200,594,27.0
10800.0,LSDYNA,7600,3712,48.84210526315789
12000.0,ANSYS,6700,2321,34.64179104477612
12000.0,ABAQUS,2200,629,28.59090909090909
12000.0,LSDYNA,7600,3520,46.31578947368421
13200.0,ANSYS,6700,2651,39.56716417910448
13200.0,ABAQUS,2200,523,23.772727272727273
13200.0,LSDYNA,7600,3224,42.421052631578945
14400.0,ANSYS,6700,2443,36.46268656716418
14400.0,ABAQUS,2200,781,35.5
14400.0,LSDYNA,7600,3032,39.89473684210526
15600.0,ANSYS,6700,2728,40.71641791044776
15600.0,ABAQUS,2200,912,41.45454545454545
15600.0,LSDYNA,7600,3416,44.94736842105263
16800.0,ANSYS,6700,2523,37.656716417910445
16800.0,ABAQUS,2200,963,43.77272727272727
16800.0,LSDYNA,7600,3544,46.63157894736842
18000.0,ANSYS,6700,3183,47.507462686567166
18000.0,ABAQUS,2200,956,43.45454545454545
18000.0,LSDYNA,7600,3256,42.84210526315789
19200.0,ANSYS,6700,3372,50.32835820895522
19200.0,ABAQUS,2200,960,43.63636363636363
19200.0,LSDYNA,7600,2824,37.15789473684211
20400.0,ANSYS,6700,3468,51.76119402985074
20400.0,ABAQUS,2200,945,42.95454545454545
20400.0,LSDYNA,7600,3112,40.94736842105263
21600.0,ANSYS,6700,3753,56.014925373134325
21600.0,ABAQUS,2200,991,45.04545454545455
21600.0,LSDYNA,7600,2872,37.78947368421053
22800.0,ANSYS,6700,3378,50.417910447761194
22800.0,ABAQUS,2200,1062,48.27272727272727
