Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763758634.8279948,ANSYS,6700,0,0.0
1763758634.8279948,ABAQUS,2200,0,0.0
1763758634.8279948,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,804,12.0
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,804,12.0
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,567,8.46268656716418
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,567,8.46268656716418
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,756,11.283582089552239
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,1104,14.526315789473685
8400.0,ANSYS,6700,849,12.671641791044777
8400.0,ABAQUS,2200,269,12.227272727272727
8400.0,LSDYNA,7600,1296,17.05263157894737
9600.0,ANSYS,6700,2172,32.417910447761194
9600.0,ABAQUS,2200,493,22.40909090909091
9600.0,LSDYNA,7600,2544,33.473684210526315
10800.0,ANSYS,6700,2598,38.776119402985074
10800.0,ABAQUS,2200,606,27.545454545454547
10800.0,LSDYNA,7600,3464,45.578947368421055
12000.0,ANSYS,6700,2172,32.417910447761194
12000.0,ABAQUS,2200,566,25.727272727272727
12000.0,LSDYNA,7600,3224,42.421052631578945
13200.0,ANSYS,6700,2787,41.59701492537313
13200.0,ABAQUS,2200,755,34.31818181818182
13200.0,LSDYNA,7600,3128,41.1578947368421
14400.0,ANSYS,6700,2614,39.01492537313433
14400.0,ABAQUS,2200,912,41.45454545454545
14400.0,LSDYNA,7600,3368,44.315789473684205
15600.0,ANSYS,6700,2880,42.98507462686567
15600.0,ABAQUS,2200,958,43.54545454545454
