Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763947942.8451169,ANSYS,6700,0,0.0
1763947942.8451169,ABAQUS,2200,0,0.0
1763947942.8451169,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,308,4.597014925373134
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,734,10.955223880597014
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,688,10.26865671641791
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,1306,19.492537313432837
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,451,6.731343283582089
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,570,8.507462686567164
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,672,8.842105263157894
8400.0,ANSYS,6700,663,9.895522388059701
8400.0,ABAQUS,2200,137,6.2272727272727275
8400.0,LSDYNA,7600,984,12.947368421052632
9600.0,ANSYS,6700,1278,19.074626865671643
9600.0,ABAQUS,2200,407,18.5
9600.0,LSDYNA,7600,1632,21.47368421052632
10800.0,ANSYS,6700,2176,32.47761194029851
10800.0,ABAQUS,2200,691,31.40909090909091
10800.0,LSDYNA,7600,3744,49.26315789473684
12000.0,ANSYS,6700,2461,36.73134328358209
12000.0,ABAQUS,2200,758,34.45454545454545
12000.0,LSDYNA,7600,3936,51.78947368421053
13200.0,ANSYS,6700,3166,47.25373134328358
13200.0,ABAQUS,2200,856,38.90909090909091
13200.0,LSDYNA,7600,3280,43.15789473684211
14400.0,ANSYS,6700,2690,40.14925373134328
14400.0,ABAQUS,2200,960,43.63636363636363
14400.0,LSDYNA,7600,3408,44.8421052631579
15600.0,ANSYS,6700,3590,53.58208955223881
15600.0,ABAQUS,2200,967,43.95454545454546
15600.0,LSDYNA,7600,3024,39.78947368421053
16800.0,ANSYS,6700,3625,54.1044776119403
16800.0,ABAQUS,2200,1021,46.409090909090914
16800.0,LSDYNA,7600,3120,41.05263157894737
18000.0,ANSYS,6700,3863,57.656716417910445
18000.0,ABAQUS,2200,970,44.09090909090909
18000.0,LSDYNA,7600,3456,45.473684210526315
19200.0,ANSYS,6700,4101,61.2089552238806
19200.0,ABAQUS,2200,966,43.90909090909091
19200.0,LSDYNA,7600,3696,48.63157894736842
20400.0,ANSYS,6700,4136,61.731343283582085
20400.0,ABAQUS,2200,821,37.31818181818182
20400.0,LSDYNA,7600,3936,51.78947368421053
21600.0,ANSYS,6700,4418,65.94029850746269
21600.0,ABAQUS,2200,735,33.409090909090914
21600.0,LSDYNA,7600,3960,52.10526315789473
22800.0,ANSYS,6700,4347,64.88059701492539
22800.0,ABAQUS,2200,524,23.81818181818182
22800.0,LSDYNA,7600,3648,48.0
24000.0,ANSYS,6700,5724,85.43283582089552
24000.0,ABAQUS,2200,606,27.545454545454547
24000.0,LSDYNA,7600,2856,37.57894736842105
25200.0,ANSYS,6700,5487,81.8955223880597
25200.0,ABAQUS,2200,665,30.227272727272727
25200.0,LSDYNA,7600,2592,34.10526315789474
26400.0,ANSYS,6700,4437,66.22388059701493
26400.0,ABAQUS,2200,765,34.77272727272727
26400.0,LSDYNA,7600,3120,41.05263157894737
27600.0,ANSYS,6700,4044,60.35820895522388
27600.0,ABAQUS,2200,679,30.863636363636367
27600.0,LSDYNA,7600,3768,49.57894736842105
28800.0,ANSYS,6700,3244,48.417910447761194
28800.0,ABAQUS,2200,735,33.409090909090914
28800.0,LSDYNA,7600,3816,50.21052631578947
30000.0,ANSYS,6700,3702,55.25373134328358
30000.0,ABAQUS,2200,685,31.136363636363633
30000.0,LSDYNA,7600,3688,48.526315789473685
31200.0,ANSYS,6700,3447,51.44776119402985
31200.0,ABAQUS,2200,806,36.63636363636364
31200.0,LSDYNA,7600,4024,52.94736842105263
32400.0,ANSYS,6700,3921,58.52238805970149
32400.0,ABAQUS,2200,679,30.863636363636367
32400.0,LSDYNA,7600,4024,52.94736842105263
33600.0,ANSYS,6700,3239,48.343283582089555
33600.0,ABAQUS,2200,738,33.54545454545455
33600.0,LSDYNA,7600,4744,62.421052631578945
34800.0,ANSYS,6700,2482,37.04477611940298
34800.0,ABAQUS,2200,943,42.86363636363637
34800.0,LSDYNA,7600,5008,65.89473684210526
36000.0,ANSYS,6700,2908,43.40298507462686
36000.0,ABAQUS,2200,925,42.04545454545455
36000.0,LSDYNA,7600,4840,63.68421052631579
37200.0,ANSYS,6700,2677,39.95522388059701
37200.0,ABAQUS,2200,849,38.59090909090909
37200.0,LSDYNA,7600,5032,66.21052631578948
38400.0,ANSYS,6700,2252,33.61194029850746
38400.0,ABAQUS,2200,833,37.86363636363637
38400.0,LSDYNA,7600,5320,70.0
39600.0,ANSYS,6700,2563,38.25373134328358
39600.0,ABAQUS,2200,912,41.45454545454545
39600.0,LSDYNA,7600,3616,47.578947368421055
40800.0,ANSYS,6700,3108,46.38805970149254
40800.0,ABAQUS,2200,1021,46.409090909090914
40800.0,LSDYNA,7600,3808,50.10526315789474
42000.0,ANSYS,6700,3108,46.38805970149254
42000.0,ABAQUS,2200,1081,49.13636363636364
42000.0,LSDYNA,7600,3496,46.0
43200.0,ANSYS,6700,3131,46.73134328358209
43200.0,ABAQUS,2200,1029,46.77272727272727
43200.0,LSDYNA,7600,4024,52.94736842105263
44400.0,ANSYS,6700,3580,53.43283582089552
44400.0,ABAQUS,2200,978,44.45454545454545
44400.0,LSDYNA,7600,3856,50.73684210526316
45600.0,ANSYS,6700,3462,51.67164179104478
45600.0,ABAQUS,2200,1011,45.95454545454545
45600.0,LSDYNA,7600,4168,54.84210526315789
46800.0,ANSYS,6700,3323,49.59701492537313
46800.0,ABAQUS,2200,1126,51.18181818181819
46800.0,LSDYNA,7600,3760,49.473684210526315
48000.0,ANSYS,6700,3236,48.298507462686565
48000.0,ABAQUS,2200,1200,54.54545454545454
48000.0,LSDYNA,7600,3784,49.78947368421053
49200.0,ANSYS,6700,3159,47.14925373134328
49200.0,ABAQUS,2200,1170,53.18181818181819
49200.0,LSDYNA,7600,4112,54.10526315789473
