Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763813903.3959098,ANSYS,6700,0,0.0
1763813903.3959098,ABAQUS,2200,0,0.0
1763813903.3959098,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,804,12.0
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,567,8.46268656716418
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,567,8.46268656716418
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,567,8.46268656716418
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,756,11.283582089552239
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,672,8.842105263157894
8400.0,ANSYS,6700,849,12.671641791044777
8400.0,ABAQUS,2200,137,6.2272727272727275
8400.0,LSDYNA,7600,1008,13.263157894736842
9600.0,ANSYS,6700,1464,21.850746268656717
9600.0,ABAQUS,2200,407,18.5
9600.0,LSDYNA,7600,1776,23.36842105263158
10800.0,ANSYS,6700,2052,30.626865671641788
10800.0,ABAQUS,2200,564,25.636363636363633
10800.0,LSDYNA,7600,3736,49.1578947368421
12000.0,ANSYS,6700,2145,32.01492537313433
12000.0,ABAQUS,2200,629,28.59090909090909
12000.0,LSDYNA,7600,3752,49.368421052631575
13200.0,ANSYS,6700,2286,34.11940298507463
13200.0,ABAQUS,2200,658,29.909090909090907
13200.0,LSDYNA,7600,3288,43.26315789473684
14400.0,ANSYS,6700,1985,29.626865671641788
14400.0,ABAQUS,2200,740,33.63636363636363
14400.0,LSDYNA,7600,3096,40.73684210526316
15600.0,ANSYS,6700,2126,31.731343283582092
15600.0,ABAQUS,2200,970,44.09090909090909
15600.0,LSDYNA,7600,3160,41.578947368421055
16800.0,ANSYS,6700,2552,38.089552238805965
16800.0,ABAQUS,2200,921,41.86363636363637
16800.0,LSDYNA,7600,3432,45.15789473684211
18000.0,ANSYS,6700,3023,45.11940298507462
18000.0,ABAQUS,2200,875,39.77272727272727
18000.0,LSDYNA,7600,3528,46.421052631578945
19200.0,ANSYS,6700,2786,41.582089552238806
19200.0,ABAQUS,2200,849,38.59090909090909
19200.0,LSDYNA,7600,3528,46.421052631578945
20400.0,ANSYS,6700,2975,44.40298507462687
20400.0,ABAQUS,2200,920,41.81818181818181
20400.0,LSDYNA,7600,3528,46.421052631578945
21600.0,ANSYS,6700,2978,44.44776119402985
21600.0,ABAQUS,2200,954,43.36363636363637
21600.0,LSDYNA,7600,3432,45.15789473684211
22800.0,ANSYS,6700,3029,45.2089552238806
22800.0,ABAQUS,2200,943,42.86363636363637
22800.0,LSDYNA,7600,3480,45.78947368421053
24000.0,ANSYS,6700,3410,50.8955223880597
24000.0,ABAQUS,2200,984,44.72727272727273
24000.0,LSDYNA,7600,3576,47.05263157894737
25200.0,ANSYS,6700,3458,51.61194029850746
25200.0,ABAQUS,2200,989,44.95454545454545
25200.0,LSDYNA,7600,3336,43.89473684210527
26400.0,ANSYS,6700,3266,48.74626865671642
26400.0,ABAQUS,2200,979,44.5
26400.0,LSDYNA,7600,3576,47.05263157894737
27600.0,ANSYS,6700,3266,48.74626865671642
27600.0,ABAQUS,2200,1176,53.45454545454545
27600.0,LSDYNA,7600,3384,44.526315789473685
28800.0,ANSYS,6700,4046,60.38805970149254
28800.0,ABAQUS,2200,1085,49.31818181818181
28800.0,LSDYNA,7600,2744,36.10526315789473
