Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763749189.030805,ANSYS,6700,0,0.0
1763749189.030805,ABAQUS,2200,0,0.0
1763749189.030805,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,804,12.0
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,804,12.0
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,567,8.46268656716418
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,567,8.46268656716418
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,756,11.283582089552239
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,816,10.73684210526316
8400.0,ANSYS,6700,849,12.671641791044777
8400.0,ABAQUS,2200,183,8.318181818181818
8400.0,LSDYNA,7600,1296,17.05263157894737
9600.0,ANSYS,6700,1650,24.62686567164179
9600.0,ABAQUS,2200,458,20.81818181818182
9600.0,LSDYNA,7600,2352,30.94736842105263
10800.0,ANSYS,6700,2478,36.985074626865675
10800.0,ABAQUS,2200,598,27.18181818181818
10800.0,LSDYNA,7600,3696,48.63157894736842
12000.0,ANSYS,6700,2262,33.76119402985074
12000.0,ABAQUS,2200,628,28.545454545454547
12000.0,LSDYNA,7600,3888,51.1578947368421
13200.0,ANSYS,6700,2288,34.14925373134328
13200.0,ABAQUS,2200,730,33.18181818181819
13200.0,LSDYNA,7600,3224,42.421052631578945
14400.0,ANSYS,6700,2352,35.1044776119403
14400.0,ABAQUS,2200,949,43.13636363636363
14400.0,LSDYNA,7600,3448,45.36842105263158
15600.0,ANSYS,6700,2541,37.92537313432836
15600.0,ABAQUS,2200,998,45.36363636363636
15600.0,LSDYNA,7600,3208,42.21052631578948
16800.0,ANSYS,6700,2496,37.25373134328358
16800.0,ABAQUS,2200,1041,47.31818181818182
16800.0,LSDYNA,7600,3208,42.21052631578948
18000.0,ANSYS,6700,2967,44.28358208955224
18000.0,ABAQUS,2200,925,42.04545454545455
18000.0,LSDYNA,7600,3208,42.21052631578948
19200.0,ANSYS,6700,3201,47.776119402985074
19200.0,ABAQUS,2200,910,41.36363636363637
19200.0,LSDYNA,7600,3304,43.473684210526315
20400.0,ANSYS,6700,3441,51.35820895522388
20400.0,ABAQUS,2200,933,42.40909090909091
20400.0,LSDYNA,7600,3496,46.0
21600.0,ANSYS,6700,3207,47.865671641791046
21600.0,ABAQUS,2200,978,44.45454545454545
21600.0,LSDYNA,7600,3472,45.68421052631579
22800.0,ANSYS,6700,3114,46.47761194029851
22800.0,ABAQUS,2200,1014,46.09090909090909
22800.0,LSDYNA,7600,3376,44.42105263157895
24000.0,ANSYS,6700,3399,50.731343283582085
24000.0,ABAQUS,2200,966,43.90909090909091
24000.0,LSDYNA,7600,3184,41.89473684210526
25200.0,ANSYS,6700,3681,54.94029850746268
25200.0,ABAQUS,2200,1101,50.04545454545455
25200.0,LSDYNA,7600,2800,36.84210526315789
26400.0,ANSYS,6700,3582,53.46268656716418
26400.0,ABAQUS,2200,991,45.04545454545455
26400.0,LSDYNA,7600,3184,41.89473684210526
27600.0,ANSYS,6700,3156,47.1044776119403
27600.0,ABAQUS,2200,1153,52.40909090909091
27600.0,LSDYNA,7600,3040,40.0
28800.0,ANSYS,6700,3249,48.492537313432834
28800.0,ABAQUS,2200,1216,55.27272727272727
28800.0,LSDYNA,7600,2944,38.73684210526316
30000.0,ANSYS,6700,3329,49.6865671641791
30000.0,ABAQUS,2200,1083,49.22727272727273
30000.0,LSDYNA,7600,3088,40.63157894736842
