Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763751443.279028,ANSYS,6700,0,0.0
1763751443.279028,ABAQUS,2200,0,0.0
1763751443.279028,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,378,5.641791044776119
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,378,5.641791044776119
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,378,5.641791044776119
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,141,2.1044776119402986
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,141,2.1044776119402986
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,567,8.46268656716418
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,96,1.263157894736842
8400.0,ANSYS,6700,756,11.283582089552239
8400.0,ABAQUS,2200,0,0.0
8400.0,LSDYNA,7600,672,8.842105263157894
9600.0,ANSYS,6700,849,12.671641791044777
9600.0,ABAQUS,2200,137,6.2272727272727275
9600.0,LSDYNA,7600,1104,14.526315789473685
10800.0,ANSYS,6700,1464,21.850746268656717
10800.0,ABAQUS,2200,361,16.40909090909091
10800.0,LSDYNA,7600,1584,20.842105263157894
12000.0,ANSYS,6700,1650,24.62686567164179
12000.0,ABAQUS,2200,417,18.954545454545453
12000.0,LSDYNA,7600,2112,27.789473684210524
13200.0,ANSYS,6700,1983,29.597014925373134
13200.0,ABAQUS,2200,485,22.045454545454547
13200.0,LSDYNA,7600,3344,44.0
14400.0,ANSYS,6700,2076,30.98507462686567
14400.0,ABAQUS,2200,577,26.227272727272727
14400.0,LSDYNA,7600,3408,44.8421052631579
15600.0,ANSYS,6700,2816,42.02985074626866
15600.0,ABAQUS,2200,760,34.54545454545455
15600.0,LSDYNA,7600,3240,42.63157894736842
16800.0,ANSYS,6700,2627,39.2089552238806
16800.0,ABAQUS,2200,789,35.86363636363637
16800.0,LSDYNA,7600,3144,41.368421052631575
18000.0,ANSYS,6700,2843,42.43283582089552
18000.0,ABAQUS,2200,943,42.86363636363637
