Timestamp,Pool,Total_Tokens,Allocated_Tokens,Utilization_Percent
1763948701.622686,ANSYS,6700,0,0.0
1763948701.622686,ABAQUS,2200,0,0.0
1763948701.622686,LSDYNA,7600,0,0.0
1200.0,ANSYS,6700,308,4.597014925373134
1200.0,ABAQUS,2200,0,0.0
1200.0,LSDYNA,7600,0,0.0
2400.0,ANSYS,6700,734,10.955223880597014
2400.0,ABAQUS,2200,0,0.0
2400.0,LSDYNA,7600,0,0.0
3600.0,ANSYS,6700,688,10.26865671641791
3600.0,ABAQUS,2200,0,0.0
3600.0,LSDYNA,7600,0,0.0
4800.0,ANSYS,6700,1306,19.492537313432837
4800.0,ABAQUS,2200,0,0.0
4800.0,LSDYNA,7600,0,0.0
6000.0,ANSYS,6700,451,6.731343283582089
6000.0,ABAQUS,2200,0,0.0
6000.0,LSDYNA,7600,0,0.0
7200.0,ANSYS,6700,570,8.507462686567164
7200.0,ABAQUS,2200,0,0.0
7200.0,LSDYNA,7600,1200,15.789473684210526
8400.0,ANSYS,6700,663,9.895522388059701
8400.0,ABAQUS,2200,269,12.227272727272727
8400.0,LSDYNA,7600,1296,17.05263157894737
9600.0,ANSYS,6700,1846,27.55223880597015
9600.0,ABAQUS,2200,479,21.77272727272727
9600.0,LSDYNA,7600,3744,49.26315789473684
10800.0,ANSYS,6700,2381,35.53731343283582
10800.0,ABAQUS,2200,771,35.04545454545455
10800.0,LSDYNA,7600,3976,52.31578947368421
12000.0,ANSYS,6700,2732,40.776119402985074
12000.0,ABAQUS,2200,893,40.590909090909086
12000.0,LSDYNA,7600,3544,46.63157894736842
13200.0,ANSYS,6700,2767,41.298507462686565
13200.0,ABAQUS,2200,928,42.18181818181818
13200.0,LSDYNA,7600,3280,43.15789473684211
14400.0,ANSYS,6700,3273,48.850746268656714
14400.0,ABAQUS,2200,1029,46.77272727272727
14400.0,LSDYNA,7600,2752,36.21052631578948
15600.0,ANSYS,6700,3385,50.5223880597015
